date,Housing,Core Services exc. Housing,Core Goods,Food and Energy
2019-09-01,0.53,0.97,-0.06,-0.15
2019-10-01,0.52,1,-0.07,-0.13
2019-11-01,0.51,0.92,-0.11,0.05
2019-12-01,0.51,0.97,-0.1,0.22
2020-01-01,0.53,1.07,-0.17,0.42
2020-02-01,0.52,1.1,-0.1,0.22
2020-03-01,0.5,1,-0.14,-0.17
2020-04-01,0.48,0.68,-0.27,-0.51
2020-05-01,0.48,0.75,-0.33,-0.47
2020-06-01,0.44,0.8,-0.36,-0.16
2020-07-01,0.44,0.86,-0.21,-0.18
2020-08-01,0.42,0.91,-0.09,-0.11
2020-09-01,0.39,1.04,-0.09,-0.06
2020-10-01,0.39,1,-0.1,-0.1
2020-11-01,0.36,0.99,-0.03,-0.13
2020-12-01,0.34,1.01,0.02,-0.02
2021-01-01,0.31,1.16,0.08,0.07
2021-02-01,0.31,1.25,0.02,0.31
2021-03-01,0.33,1.51,0.12,0.74
2021-04-01,0.38,1.82,0.51,0.82
2021-05-01,0.36,1.87,0.85,0.92
2021-06-01,0.38,1.99,1.02,0.89
2021-07-01,0.38,2.1,0.96,1
2021-08-01,0.4,2.15,0.93,1.08
2021-09-01,0.45,2.1,0.99,1.2
2021-10-01,0.49,2.2,1.23,1.39
2021-11-01,0.56,2.45,1.32,1.56
2021-12-01,0.6,2.52,1.48,1.49
2022-01-01,0.64,2.44,1.65,1.53
2022-02-01,0.69,2.45,1.79,1.61
2022-03-01,0.7,2.4,1.86,1.97
2022-04-01,0.74,2.42,1.57,1.95
2022-05-01,0.79,2.4,1.38,2.24
2022-06-01,0.85,2.46,1.37,2.63
2022-07-01,0.91,2.31,1.28,2.29
2022-08-01,0.98,2.44,1.3,1.95
2022-09-01,1.04,2.56,1.33,1.76
2022-10-01,1.07,2.63,1.1,1.67
2022-11-01,1.11,2.54,0.92,1.48
2022-12-01,1.17,2.45,0.74,1.16
2023-01-01,1.2,2.49,0.63,1.2
2023-02-01,1.24,2.49,0.53,0.95
2023-03-01,1.23,2.36,0.58,0.24
2023-04-01,1.24,2.35,0.58,0.29
2023-05-01,1.23,2.32,0.57,-0.13
2023-06-01,1.19,2.24,0.39,-0.52
2023-07-01,1.17,2.32,0.27,-0.33
2023-08-01,1.12,2.11,0.13,0.08
2023-09-01,1.09,2.1,0.05,0.22
2023-10-01,1.05,1.91,0.09,-0.02
2023-11-01,1.03,1.82,0.05,-0.12
2023-12-01,0.99,1.78,-0.01,0.03
2024-01-01,0.95,1.95,-0.12,-0.08
2024-02-01,0.91,1.87,-0.09,0.01
2024-03-01,0.91,1.97,-0.11,0.18
2024-04-01,0.88,1.89,-0.12,0.17
2024-05-01,0.87,1.82,-0.23,0.21
2024-06-01,0.84,1.78,-0.18,0.11
2024-07-01,0.82,1.75,-0.09,0.11
2024-08-01,0.83,1.81,-0.11,-0.13
2024-09-01,0.8,1.78,-0.07,-0.25
2024-10-01,0.8,1.94,-0.1,-0.17
2024-11-01,0.76,1.93,-0.04,-0.05
2024-12-01,0.74,1.96,-0.04,0.08
2025-01-01,0.72,1.71,0.05,0.14
2025-02-01,0.69,1.89,0.07,0.08
2025-03-01,0.68,1.71,-0.01,-0.01
2025-04-01,0.67,1.62,0.04,-0.04
2025-05-01,0.64,1.69,0.14,-0.01
2025-06-01,0.64,1.64,0.22,0.1
2025-07-01,0.62,1.68,0.23,0.06
2025-08-01,0.61,1.74,0.23,0.16
